id;nome;data_de_criacao;data_de_inicio;data_fim
1;Grass-roots;2022-11-25;2022-11-25;2022-11-25
2;Assimilated;2022-11-25;2022-11-25;2022-11-24
3;Mouse Maranhão card;2022-11-25;2022-11-25;2022-11-25
4;Ceará Cadeira;2022-11-25;2022-11-25;2022-11-25
5;circuit synthesizing;2022-11-25;2022-11-25;2022-11-24
6;Travessa primary;2022-11-25;2022-11-25;2022-11-25
7;Teclado navigating deliver;2022-11-25;2022-11-25;2022-11-25
8;infrastructure Coordinator;2022-11-25;2022-11-25;2022-11-24
9;foreground optimize Plástico;2022-11-25;2022-11-25;2022-11-25
10;Malagasy;2022-11-25;2022-11-25;2022-11-25
