id;idrf;descricao_requisito;prioridade;complexibilidade;esforco;status
1;override verde-azulado Accounts;back-end compress;ALTA;MUITO;parsing withdrawal transmitting;AGUARDANDO
2;deposit Alemanha Buckinghamshire;Cambridgeshire;MEDIA;ALTA;Berkshire GB;EM
3;bus disintermediate;invoice Forward transmitting;MUITO;MEDIA;Rua;APROVACAO
4;Música Aço Alameda;Account Norfolk;MEDIA;ALTA;PNG;FINALIZADO
5;Synergized;withdrawal Rodovia Industrial;BAIXA;ALTA;Checking;BLOQUEADO
6;Quiribati Creative end-to-end;Cadeira;ALTA;BAIXA;Lead;AGUARDANDO
7;Account Cambridgeshire;embrace Bolívia;ALTA;BAIXA;Dynamic;FINALIZADO
8;Paraná;Buckinghamshire Livros;MUITO;MEDIA;Travessa program;APROVACAO
9;Madeira Account payment;Ceará;MEDIA;ALTA;Facilitator;FINALIZADO
10;Kroon Marketing;program magenta;MEDIA;ALTA;Director Checking back;FINALIZADO
